Transaction_ID,Date, Customer_ID,Customer_Name,Customer_Gender,Customer_Region,Category ,Price,Discount_Amount,Quantity ,Payment_Method,Store_Location,Online/Offline, Product_Rating
T000021,2024-07-12,C1213,Jennifer Crawford,Female,Est,Grocery,536.53,12.57,5.0,Online Payment,Store D,Online,4.4
,2024-08-03,C1215,Jonathan Hunter,Female,south,ELECTRONIC,25.82,,9.0,Cash,Store A,Offline,2.4
T000023,2023-07-19,C1306,Benjamin Adams Jr.,Male,West,ELECTRONIC,749.53,8.75,7.0,Cash,Store B,Online,3.9
T000024,,,Jeffery Cannon,Male,,Furniture,64.32,,2.0,Credit Card,Store A,Online,2.0
T000025,,C1358,Valerie Perez,Male,North,ELECTRONIC,372.46,11.52,,Online Payment,Store B,Online,3.5
T000026,,C1164,Stephanie Stokes,Female,Est,electronic,,4.0,,Debit Card,Store A,Offline,4.4
T000027,2023-08-11,C1444,Mariah Lewis,Female,WST,Clothing,717.93,2.23,3.0,Online Payment,Store C,Online,1.4
T000028,2023-05-03,C1352,Ashley Choi,Female,East,Furniture,,,1.0,Credit Card,Store A,Offline,
T000029,2023-01-02,C1192,Judy Riley DVM,Female,south,Clothing,474.66,11.02,6.0,Cash,Store C,Online,
T000030,2024-07-12,C1407,Jennifer Ortiz,Female,East,electronic,104.61,5.66,8.0,Debit Card,Store B,Online,2.5
T000031,2023-03-20,C1082,Jonathan Collins,Female,West,Grocery,754.26,0.19,3.0,Credit Card,Store B,Offline,4.0
T000032,2023-05-02,,Darryl Jacobs,,South,Furnitures,137.21,10.96,7.0,,Store C,Online,4.6
T000033,2023-05-10,C1184,Kevin Walsh,Female,WST,Grocery,262.49,5.68,4.0,Online Payment,Store A,Online,3.8
T000034,2024-07-01,C1085,Michael Krueger,Male,Est,,709.26,5.3,2.0,Credit Card,Store C,Offline,4.6
T000035,2023-05-28,C1141,Thomas Douglas,Male,Est,Grocery,837.29,11.48,1.0,Debit Card,Store D,Offline,1.3
T000036,2023-12-12,C1115,David Hamilton PhD,Female,NORTH,Furniture,769.45,4.91,9.0,Credit Card,Store B,Offline,3.4
T000037,2023-04-15,C1013,Angela Smith,Female,WST,Furniture,108.99,8.31,6.0,Online Payment,Store D,Online,1.4
T000038,2023-07-12,C1255,Maria Henderson,Male,West,,182.98,,7.0,Debit Card,Store D,Offline,
T000039,2023-04-28,C1182,Luke Gonzalez,Male,Est,Clothing,626.05,7.25,7.0,Online Payment,Store A,Offline,2.8
,2023-10-06,C1207,Christine Walls,Female,South,Electronics,44.26,4.86,7.0,Cash,Store D,Online,1.6
,2024-03-23,C1469,Penny Gordon,Male,East,Clothing,609.05,,4.0,Cash,Store B,Offline,2.0
T000042,2023-03-17,C1282,Eric Brown,Male,South,Furnitures,708.13,7.16,8.0,Credit Card,Store C,Offline,3.9
T000043,2024-05-02,C1387,Robert Smith,Male,West,Electronics,662.09,3.53,5.0,Online Payment,Store D,,4.9
T000044,2024-03-06,C1390,,,WST,Grocery,896.19,3.56,1.0,Credit Card,Store B,,5.0
T000045,2024-09-11,C1081,Denise Powell,Female,West,Grocery,339.0,2.01,9.0,,Store C,,
T000046,,C1320,Andrea Walker,Male,North,electronic,312.85,9.53,8.0,Cash,,Online,2.9
T000047,2024-07-19,C1145,Sara Yoder,Female,West,Furniture,36.98,14.6,6.0,Online Payment,Store B,Online,4.2
T000048,2023-12-15,C1164,Andrew Hogan,,South,ELECTRONIC,249.66,,6.0,Debit Card,,,
T000049,2024-03-06,,Glen Peterson,Male,,Electronics,650.83,13.06,1.0,Cash,Store B,,4.1
T000050,2024-03-22,C1204,Patrick Obrien,Male,South,Electronics,705.3,,,Credit Card,Store B,Offline,2.4
T000051,2024-12-06,C1035,Jill Lane,Female,West,Furniture,,3.44,5.0,,Store C,Offline,2.8
T000052,2023-09-24,C1347,Sue Jackson,Male,NORTH,,162.72,13.18,3.0,Credit Card,Store D,Offline,3.8
T000053,2023-09-27,,Andrea Webster,Male,,Electronics,270.45,8.44,5.0,Credit Card,Store A,Offline,3.3
T000054,2023-12-13,C1050,,Female,North,Grocery,493.17,,,Online Payment,Store D,Online,3.0
T000055,2023-11-06,C1314,Joseph Madden,Male,Est,electronic,560.28,,4.0,Online Payment,Store B,Offline,
T000056,2023-12-08,C1465,,Female,East,ELECTRONIC,616.15,4.98,7.0,Debit Card,Store B,Online,2.6
T000057,2024-11-18,C1462,Leonard Riley,Male,Est,Furniture,572.63,,,Cash,Store B,Offline,1.0
T000058,2023-04-22,C1330,Jessica Weaver,Female,East,Furniture,215.07,,2.0,Debit Card,Store B,Online,
T000059,2023-04-09,C1440,Jason Ferguson,Female,Est,Grocery,738.58,8.36,7.0,Credit Card,Store A,Online,2.9
T000060,2023-10-17,C1003,Tamara Pope,Male,Est,ELECTRONIC,439.33,14.31,6.0,Credit Card,Store A,Online,4.2
T000061,2024-01-24,C1019,Tammy Williams,Female,NORTH,ELECTRONIC,,0.74,10.0,Credit Card,Store B,Offline,
T000062,2024-08-07,C1156,Nicole Richmond,Female,NORTH,Clothing,445.84,6.05,2.0,Cash,Store D,Offline,
T000063,2023-02-07,C1384,Charles Reynolds,Female,NORTH,Grocery,58.31,,4.0,Credit Card,Store B,Online,3.5
T000064,2024-04-02,C1078,Stephanie Bautista,,South,electronic,624.77,,8.0,Debit Card,Store A,Offline,2.2
T000065,2023-08-23,C1354,Susan Lucero,Male,NORTH,Clothing,426.41,13.68,5.0,Debit Card,Store B,Offline,4.5
T000066,2023-02-24,C1112,Marie Fernandez,Male,south,Furnitures,441.3,14.41,5.0,Online Payment,Store D,Offline,1.2
T000067,2023-10-11,C1144,Jonathan Lewis,Male,WST,Grocery,688.74,11.86,5.0,Online Payment,Store D,Offline,3.8
T000068,2023-03-18,C1479,Jay Reyes,Female,Est,Clothing,821.63,7.29,5.0,Credit Card,Store B,Online,
T000069,2024-09-30,C1279,Kristin Vance,Male,Est,Furnitures,904.77,12.93,6.0,Cash,Store C,Online,5.0
T000070,2023-06-18,,Christian Baker,Male,NORTH,ELECTRONIC,888.74,7.38,5.0,Online Payment,Store B,Offline,
,2023-06-09,C1327,Jonathan Lopez,Male,North,Electronics,775.61,9.07,7.0,Debit Card,Store A,Online,
T000072,2023-06-21,C1429,Geoffrey Gordon,Male,south,Furnitures,587.84,14.25,,Online Payment,Store C,Online,2.2
T000073,2024-02-09,C1224,Ryan Russell,Male,North,Grocery,531.29,4.25,2.0,Credit Card,,Online,2.5
T000074,2023-01-08,C1408,Michelle Hart,Male,East,Furnitures,852.82,,2.0,Debit Card,Store C,Online,2.4
T000075,2023-08-12,C1164,Patricia Heath,Male,Est,electronic,331.6,9.8,6.0,Online Payment,Store B,Online,1.5
T000076,2024-06-28,C1325,Christopher Smith,Male,East,ELECTRONIC,360.06,14.65,1.0,Cash,Store D,Offline,3.5
T000077,2023-12-16,C1311,Christopher Barker,Female,Est,Clothing,525.88,14.46,2.0,Debit Card,,Online,
T000078,2024-05-12,C1387,Cheyenne Day,Male,south,Clothing,783.65,1.89,,Debit Card,Store C,Offline,1.3
T000079,2024-12-17,C1101,Christine Vaughn DDS,Male,East,Furniture,890.5,,2.0,Cash,Store A,Online,2.8
T000080,2023-12-09,C1492,Amanda Martinez,Male,West,Furnitures,529.38,1.65,6.0,Online Payment,,Online,
T000081,,C1343,Mr. Kenneth Rodriguez MD,Female,NORTH,Electronics,816.47,12.93,7.0,Credit Card,Store A,Online,3.9
T000082,2024-07-14,C1159,Gary Wright,Male,,electronic,,9.59,7.0,Cash,Store C,Offline,3.6
T000083,2023-11-18,C1201,,Female,North,electronic,249.47,,8.0,Cash,Store B,Offline,4.9
T000084,2023-11-21,C1361,Elizabeth Wright,Female,Est,Grocery,,0.0,4.0,Cash,Store B,Offline,
T000085,2024-07-31,,Dawn Holmes,Male,,Furniture,474.85,,2.0,Online Payment,Store B,Online,4.0
T000086,2023-07-22,C1258,Christy Rivera,Female,WST,Furniture,799.2,11.65,3.0,Credit Card,Store C,Online,2.7
T000087,2023-03-25,C1484,Mr. Xavier King,Male,south,Furniture,840.13,6.39,5.0,Debit Card,Store D,Offline,1.6
T000088,2024-09-25,C1445,Erin Berry,Male,south,electronic,136.41,13.33,5.0,Credit Card,Store D,Offline,
T000089,2024-04-08,C1363,Terry Cook,Female,south,Clothing,768.46,,6.0,Debit Card,Store A,Offline,2.4
T000090,,C1243,Chelsea Carpenter,,West,Furnitures,440.02,,2.0,Online Payment,Store A,Online,1.5
T000091,2023-09-05,C1198,Michael Romero,,South,Clothing,885.38,,2.0,Credit Card,Store C,Online,
T000092,2023-07-03,C1188,James Anderson,Female,Est,Furnitures,,,10.0,Cash,Store A,Offline,1.6
T000093,2024-07-02,C1014,,Male,Est,electronic,429.85,,9.0,Online Payment,Store D,Online,4.2
T000094,2024-10-25,,,Male,East,,194.03,13.54,6.0,Online Payment,Store D,Online,1.8
T000095,2024-04-13,C1203,Angel Sawyer,Male,North,Furnitures,382.28,4.69,7.0,Cash,Store C,Offline,2.1
T000096,2023-04-23,C1336,,Female,South,ELECTRONIC,762.07,14.79,8.0,,Store A,Online,1.6
T000097,,C1033,,Male,WST,Furniture,64.88,13.48,5.0,Cash,Store C,Online,
T000098,2023-08-10,C1112,Paul Williams,Male,,Furnitures,593.92,,,Credit Card,,Offline,4.2
T000099,2024-12-25,C1474,Sean Thomas,Male,NORTH,Furniture,303.6,12.13,3.0,Debit Card,Store C,Online,
T000100,2024-08-18,C1292,Lisa Chaney,Female,WST,Grocery,222.82,8.67,9.0,Credit Card,,Offline,3.2
T000101,2023-10-05,C1485,Jeanette Ward,Female,West,electronic,614.82,6.91,,Debit Card,Store B,Online,4.6
T000102,2023-01-05,C1030,Christopher Stone,Female,North,Furnitures,968.45,14.9,7.0,Online Payment,,Offline,
T000103,2023-06-24,C1225,Diana Palmer,Male,North,Furnitures,274.09,,2.0,Online Payment,Store A,,2.2
T000104,2024-02-13,C1382,Chris Warren,Male,South,Furniture,689.24,,,Credit Card,Store C,Offline,2.5
T000105,2023-12-08,C1126,Shawn Lee,Male,East,Electronics,588.22,3.59,4.0,Debit Card,Store B,Offline,4.1
T000106,2024-05-28,C1413,Christopher Burns,Male,south,Furnitures,756.44,3.09,6.0,Online Payment,Store B,,3.3
T000107,2024-07-12,C1280,Kathryn Hernandez,Female,WST,Grocery,367.4,,4.0,Online Payment,Store B,Online,4.0
T000108,2023-08-30,C1300,James Brown,Male,Est,Electronics,652.23,,1.0,Debit Card,Store C,Online,3.7
T000109,2023-02-28,C1174,Monica Bruce,Male,North,Clothing,926.2,0.59,10.0,Credit Card,Store A,Offline,1.3
T000110,2024-08-27,C1395,Emily Decker,Female,Est,Grocery,868.43,8.61,1.0,Cash,Store C,Offline,2.0
T000111,2024-08-15,C1454,Elizabeth Bolton,Male,south,Furniture,959.12,7.22,9.0,Cash,Store D,Offline,1.1
T000112,2024-05-12,C1025,Jessica Wilson,Male,,electronic,103.37,13.07,8.0,Credit Card,Store C,Online,2.4
T000113,2024-08-11,C1452,Danny Shaw,Male,North,Electronics,138.6,3.28,6.0,Cash,Store B,Online,
T000114,2024-05-27,C1497,James Rodriguez,Female,south,Clothing,40.42,,10.0,Debit Card,Store D,Online,3.0
T000115,2024-11-19,C1448,Phillip Smith,Male,Est,Furniture,350.32,2.77,1.0,Credit Card,Store C,,2.9
T000116,2023-10-21,C1276,David Carter,Male,North,Electronics,202.95,,7.0,Cash,Store C,Online,
T000117,2023-08-13,C1325,,Female,South,,116.7,,9.0,Debit Card,Store A,Offline,3.5
T000118,2024-05-02,C1264,Courtney Singh,Female,West,Furnitures,,10.28,10.0,Debit Card,Store D,Offline,4.9
T000119,2023-08-11,C1184,Paula Morris,Female,,Furniture,,6.51,4.0,Online Payment,Store D,Online,1.1
T000120,2024-12-06,C1436,Brittany Smith,Female,West,Clothing,518.26,13.48,1.0,Debit Card,Store C,Online,
T000121,2024-12-01,C1108,Misty Smith DVM,Male,Est,Furnitures,388.0,11.22,10.0,Credit Card,Store A,Online,3.9
T000122,2023-03-25,,Andrew Newman,Female,NORTH,Clothing,914.58,2.25,6.0,Credit Card,Store A,Online,1.5
T000123,2023-10-05,C1306,Kristen Cruz,Female,,,572.21,5.04,9.0,Online Payment,Store B,Online,1.6
T000124,2023-02-18,,Patricia Erickson,Male,South,Clothing,314.79,6.45,9.0,Credit Card,Store B,Online,5.0
T000125,2024-03-16,C1498,Anna Sanders,Female,South,Clothing,,12.68,1.0,Debit Card,Store A,Online,2.6
T000126,2024-09-17,C1331,Courtney Frost,Female,West,Clothing,,5.14,1.0,Online Payment,Store C,Online,3.0
T000127,2024-10-03,C1442,George Rivera,Male,East,Electronics,806.46,14.71,5.0,Debit Card,Store D,Online,3.5
T000128,2024-10-31,C1082,Glenda Martin,Female,West,,998.61,,8.0,Cash,Store D,Online,4.9
T000129,2024-12-25,C1132,Bill Davis,Female,East,Clothing,800.18,,2.0,Cash,Store B,Online,2.9
T000130,2024-11-10,C1488,Marissa Bishop,Female,NORTH,ELECTRONIC,287.87,7.2,7.0,Credit Card,Store D,Offline,2.5
T000131,2023-03-31,C1138,Rebecca Chan,,WST,ELECTRONIC,714.39,6.26,2.0,Debit Card,Store C,Online,
T000132,2024-09-27,C1400,Joshua Mayo,Male,South,ELECTRONIC,426.87,5.01,6.0,Debit Card,Store A,Online,
T000133,2024-06-29,C1202,Lisa Ortiz,Male,south,Electronics,400.35,0.82,1.0,Online Payment,Store D,Online,3.2
T000134,2024-05-17,C1181,Ernest Hall,Male,,ELECTRONIC,102.45,11.36,8.0,Debit Card,Store D,Online,2.7
T000135,2024-01-29,C1158,George Hobbs,Female,south,electronic,250.24,,5.0,Online Payment,Store A,Offline,2.6
T000136,,C1496,Darlene Cohen,Male,south,,233.44,,4.0,Debit Card,Store C,Offline,1.0
T000137,2023-12-22,C1202,William Gutierrez,Male,South,,864.76,12.43,4.0,Credit Card,Store B,,2.7
,2024-12-30,C1089,Lawrence Mcclure,,South,Furniture,429.64,,10.0,Debit Card,Store C,Offline,1.5
T000139,2023-08-12,C1046,Michael White,Male,,electronic,,,2.0,Debit Card,,Online,3.9
T000140,2023-03-06,C1470,Zachary Dickerson,Male,NORTH,Grocery,481.77,1.5,7.0,Credit Card,Store A,,4.2
T000141,2024-11-11,C1046,,Female,North,Furniture,161.18,2.66,3.0,Credit Card,Store A,Offline,3.8
T000142,2024-03-31,C1175,Brandon Sullivan,,South,Electronics,250.59,6.46,6.0,Debit Card,Store A,Offline,3.1
T000143,2023-01-20,C1414,Ian Quinn,Male,,Electronics,235.89,6.37,3.0,Cash,Store A,Offline,1.2
T000144,2023-02-14,C1206,Michelle Stephens,Female,NORTH,Furniture,543.47,2.26,2.0,Cash,Store A,,1.6
T000145,,C1181,Francisco Stark,Female,East,Grocery,798.87,,8.0,Debit Card,Store D,Online,2.3
T000146,2023-01-21,C1469,Benjamin Cline,Female,North,Furnitures,826.29,,1.0,Credit Card,Store B,Online,2.2
T000147,2023-03-06,C1316,Lauren Gonzalez,Female,North,electronic,,,7.0,Cash,Store A,Offline,2.5
T000148,2023-08-25,C1253,Bruce Lane,Female,North,Grocery,513.19,13.29,,Credit Card,,Offline,
T000149,2023-09-23,C1108,Timothy Adams,Male,WST,,414.22,8.38,6.0,Online Payment,Store D,Online,2.6
T000150,2023-01-08,C1308,,Female,,,253.51,7.01,3.0,Online Payment,Store C,Offline,
T000151,2023-04-02,C1282,Matthew Jennings,Male,North,ELECTRONIC,165.79,9.95,7.0,Debit Card,,Offline,3.3
,2024-08-24,,,,Est,Electronics,49.94,,8.0,Cash,Store D,Online,4.5
T000153,2024-02-22,C1287,Christopher Bishop,Male,WST,electronic,119.28,,2.0,Credit Card,Store A,Online,1.3
T000154,,C1429,Casey Garcia,Female,south,Clothing,287.23,2.96,4.0,Cash,Store B,Offline,3.3
T000155,,,Elizabeth Jenkins,Female,WST,Furnitures,363.47,6.73,3.0,Credit Card,Store C,Offline,2.3
T000156,2024-08-22,C1350,Jennifer Yu,Female,,Electronics,180.46,,6.0,Credit Card,Store D,Offline,
,2024-07-29,C1140,,Male,West,ELECTRONIC,208.59,5.02,,Debit Card,Store D,Offline,2.4
T000158,2023-08-14,C1403,David Miranda,Female,South,Furniture,240.16,2.7,4.0,Cash,,Offline,1.0
T000159,2024-12-18,C1275,Jeremy Williams,Female,NORTH,Furniture,530.88,5.31,4.0,Cash,,Online,2.0
T000160,2023-08-26,C1422,Michele White,Female,North,Electronics,472.16,,1.0,Credit Card,Store D,Online,
T000161,2024-09-21,C1155,,Male,Est,Furniture,930.48,14.81,3.0,Cash,Store C,,3.1
,2024-10-12,C1497,Jerry Thomas MD,Female,East,Electronics,623.04,5.91,,Debit Card,Store D,Offline,4.5
T000163,2024-06-24,,Danielle Perez,Male,South,Furniture,260.01,9.33,4.0,Debit Card,Store B,Online,5.0
T000164,,C1463,Ana Johnston,Female,East,Furniture,629.63,12.31,4.0,Online Payment,,Offline,4.4
,2023-10-29,C1384,Shawn Bryant,Male,East,ELECTRONIC,951.71,,10.0,Online Payment,Store D,,2.1
,2023-09-18,,Thomas Fletcher,Female,North,Electronics,139.94,2.2,4.0,Credit Card,Store D,Offline,3.4
T000167,2023-03-17,C1492,James Jones,Female,South,Electronics,771.64,10.05,5.0,Cash,Store C,Online,
T000168,2023-02-03,C1474,Jennifer Collins,Female,South,ELECTRONIC,549.6,11.95,9.0,,Store A,Offline,1.6
T000169,2023-12-18,C1045,Dawn Norman,Female,Est,Clothing,683.29,1.72,1.0,Debit Card,Store B,Online,2.9
T000170,2024-12-25,,Peggy Dudley,Male,Est,Grocery,696.44,,9.0,Online Payment,Store B,,1.6
T000171,2024-01-12,C1467,Joseph Robertson,Male,WST,Grocery,150.91,,1.0,Cash,Store A,Offline,4.0
T000172,2024-06-10,C1343,Bruce Olsen,Female,Est,ELECTRONIC,748.0,11.4,7.0,Cash,Store B,Offline,3.5
T000173,2024-04-08,C1206,Megan Calderon,Male,NORTH,Furniture,587.15,,3.0,Credit Card,Store A,Offline,2.1
T000174,2023-12-19,C1072,Alan Parker,Male,south,electronic,380.36,9.0,2.0,,Store B,Online,3.5
T000175,,C1372,Russell James,Male,West,,584.68,0.34,7.0,Debit Card,Store B,,2.1
T000176,,C1274,,Male,South,Electronics,402.72,3.16,7.0,Online Payment,Store B,Online,
T000177,2023-12-28,C1035,Gregory Ryan,Male,Est,Grocery,513.66,,4.0,,Store B,Online,1.1
T000178,2024-12-22,C1201,Jessica Bridges,Male,NORTH,ELECTRONIC,846.97,11.87,,Debit Card,Store D,Online,1.8
T000179,2023-11-04,C1287,,Male,South,Grocery,391.03,6.6,,Cash,Store B,Online,4.9
T000180,2024-07-12,C1419,Isaac Baker,Female,South,,230.58,0.59,9.0,Cash,Store D,Online,4.5
T000181,2023-02-27,C1400,,Male,south,ELECTRONIC,242.4,12.24,9.0,Debit Card,Store B,Online,1.3
T000182,2024-02-19,,Brianna Sandoval,Male,North,electronic,437.68,3.42,2.0,Debit Card,Store D,Online,
,2024-09-16,,Lauren Adams,Female,WST,Electronics,189.74,1.49,7.0,Cash,Store C,Online,
T000184,2023-07-14,,Deborah Boyd,Male,West,Furniture,334.53,9.69,9.0,Credit Card,,Online,1.8
T000185,2024-07-07,C1158,Henry Kelly,Male,West,Electronics,210.66,5.06,2.0,Debit Card,Store C,Online,3.4
T000186,2023-02-28,C1257,Matthew Poole,Male,Est,Clothing,853.27,12.39,2.0,Cash,Store C,Offline,2.3
T000187,2023-11-18,C1194,Nicole Adams,Female,,electronic,204.77,,4.0,Cash,Store D,Offline,1.1
T000188,2023-09-13,,David Jackson,Female,North,Furnitures,574.69,,2.0,Cash,Store D,Online,1.7
T000189,2024-02-01,,Kenneth Smith,Male,WST,Electronics,24.11,2.18,2.0,Debit Card,Store C,Offline,2.5
T000190,2024-11-15,C1284,Richard Mckenzie,Male,North,Electronics,47.18,3.62,2.0,Debit Card,,Offline,2.8
T000191,2023-02-03,C1451,George Short,Male,Est,Grocery,751.88,0.81,2.0,Credit Card,Store D,Online,
T000192,2024-10-09,C1349,Henry Molina,Male,East,Furniture,289.42,,10.0,Cash,Store B,Online,1.3
T000193,2024-12-07,C1094,Betty Silva,Female,West,Clothing,879.22,5.86,8.0,Credit Card,Store C,Offline,4.1
T000194,2023-11-21,C1450,Kristen Rodriguez,Male,Est,Electronics,795.03,9.33,1.0,Cash,Store C,Offline,2.8
T000195,2023-10-17,C1241,William Sandoval,Male,Est,Clothing,145.33,0.24,9.0,Credit Card,,Offline,3.9
T000196,,C1208,Melinda Moore,Male,Est,electronic,478.27,11.58,6.0,Online Payment,Store D,,
T000197,2023-09-14,C1376,Joseph Mendoza,Male,South,Furniture,280.86,11.21,2.0,Credit Card,Store A,Online,2.0
T000198,,,David Baker,Female,WST,Clothing,322.68,6.95,1.0,Online Payment,Store A,,1.6
T000199,2024-07-27,C1147,Nathan Silva,Female,South,Furnitures,691.71,11.48,1.0,Credit Card,,Offline,4.0
T000200,2023-10-02,C1497,Katie Gallegos,Male,NORTH,ELECTRONIC,957.36,,7.0,Cash,Store A,Online,1.5
T000201,2024-05-26,C1498,Elizabeth Taylor,Female,East,Grocery,19.94,14.73,6.0,Cash,Store A,Offline,2.0
T000202,,C1491,Heather Morrison,Female,West,Grocery,522.26,5.63,5.0,,Store D,,3.8
T000203,2024-03-09,,Donna Brown,Male,,ELECTRONIC,323.78,0.33,9.0,Credit Card,Store B,Offline,4.1
,2023-03-03,C1011,Brian Robinson,Male,Est,Furniture,685.93,7.45,7.0,,Store B,Online,3.7
T000205,2023-01-10,C1410,Stephen Rodriguez,Female,East,Furniture,830.4,9.88,,Online Payment,Store B,Online,
T000206,2023-03-14,C1161,Brenda Garza,Female,south,electronic,390.31,,9.0,Debit Card,Store A,Online,1.7
T000207,2023-09-09,,Wayne Jones,Male,Est,,,13.77,5.0,Online Payment,Store C,Offline,
T000208,2024-08-22,C1379,Jonathan Little,Female,South,Furniture,545.22,,,Credit Card,Store D,Offline,3.9
,2024-01-30,C1477,Jeffrey Thompson,Female,North,Furniture,237.38,8.73,4.0,Online Payment,Store D,Offline,
T000210,2023-11-12,C1175,,Male,south,ELECTRONIC,891.47,13.3,3.0,Online Payment,Store C,Offline,1.0
T000211,2023-02-04,C1382,Tracy Dunn,Female,WST,ELECTRONIC,,,2.0,Online Payment,Store D,Online,2.8
T000212,,C1404,Jeremy Rowe,Male,south,ELECTRONIC,964.01,1.48,4.0,Cash,Store B,Online,4.6
T000213,2023-12-31,C1019,,Male,WST,Grocery,637.8,3.29,10.0,Credit Card,Store A,,
T000214,2024-09-26,C1415,Alexander Beck,Female,South,Furniture,179.99,,1.0,Debit Card,Store A,Online,4.6
T000215,2024-06-21,C1282,Lisa Mccarty,Female,south,Furniture,510.01,2.09,6.0,,Store B,Offline,2.6
T000216,2023-06-14,C1245,Steven Knox,Male,North,Furnitures,365.49,,6.0,Cash,Store B,Online,4.8
T000217,2023-05-21,C1460,Jonathan Brooks,Male,south,Furnitures,472.84,8.67,1.0,Online Payment,,Offline,3.6
T000218,2024-04-26,C1019,Jason Brady,Female,East,Clothing,173.03,10.24,6.0,Credit Card,Store B,Online,3.9
T000219,2023-11-21,C1404,Edward Cross,,,electronic,67.44,8.87,8.0,Debit Card,Store C,Online,
T000220,,C1208,Glenda Nguyen,Male,south,Electronics,717.07,12.17,5.0,Cash,Store B,Offline,1.3
T000221,2024-04-13,C1381,Mary Whitney,Female,WST,Clothing,329.98,12.87,5.0,Credit Card,Store B,Offline,2.5
T000222,2023-11-01,C1072,,Female,South,ELECTRONIC,910.75,12.28,10.0,Cash,Store A,,3.9
T000223,2023-02-11,C1199,Kyle Smith,Female,West,Furniture,,3.42,,Cash,Store B,Offline,2.7
T000224,2023-03-07,C1365,Daniel Drake,,South,Clothing,,,7.0,Credit Card,Store A,Offline,3.4
T000225,2023-09-02,C1250,Carol Wilcox,Male,North,Clothing,817.59,3.0,,Cash,Store D,Online,4.6
T000226,2024-12-10,C1267,Kevin Raymond,Male,NORTH,Furniture,767.32,13.55,6.0,Online Payment,Store C,Online,
T000227,2024-03-23,C1489,Paul Roberts,Female,NORTH,Furniture,,3.32,3.0,Debit Card,Store D,Offline,4.9
T000228,2023-07-07,C1167,Christopher Smith,Female,NORTH,Furnitures,268.57,4.31,,Online Payment,Store B,Online,3.2
T000229,2023-01-04,C1051,Julian Webb,Female,East,Grocery,773.02,13.08,5.0,Debit Card,Store B,Online,
T000230,2024-07-01,C1321,Brian Knight,Male,South,Electronics,472.86,1.92,5.0,Debit Card,Store B,,2.4
T000231,2024-12-20,C1131,Melvin Gentry,Female,West,Grocery,801.5,14.49,4.0,Online Payment,Store B,Offline,4.9
T000232,2024-10-15,C1343,Jennifer Gibson,Female,Est,Electronics,,11.34,10.0,Cash,Store B,Offline,4.6
T000233,2024-11-04,C1076,Kenneth Mullins,Female,Est,Furnitures,100.98,11.58,6.0,Cash,Store B,,2.9
T000234,2024-08-01,C1017,Janet Estrada,Male,East,Furnitures,575.23,11.7,2.0,Cash,Store D,Offline,
T000235,2023-07-25,C1454,Mark Tate,Female,,Furnitures,827.44,,3.0,Credit Card,Store A,Online,3.1
